event_id,player_name,contract_start_season,contract_years,treatment_category,contract_type,pre_impact_overall_mw,pre_impact_offense_mw,pre_impact_defense_mw,pre_total_minutes,pre_seasons_valid,post_impact_overall_mw,post_impact_offense_mw,post_impact_defense_mw,post_total_minutes,post_seasons_valid,post_minutes_per_season,mis_overall,mis_offense,mis_defense,mis_data_quality
andre_drummond_2017_DET,Andre Drummond,2017-18,3,re_signed_standard,roster_continuity,1.0525320197044337,0.4677241379310345,0.5373399014778325,5075,2,2.188477136064886,1.0055516710949517,1.2092015102782827,7151,3,2383.6666666666665,1.1359451163604521,0.5378275331639172,0.6718616088004502,complete
andre_iguodala_2017_GSW,Andre Iguodala,2017-18,3,re_signed_standard,roster_continuity,1.8499195710455762,0.335656836461126,1.5142627345844504,3730,2,0.7355625,-0.50825,1.2438125,3200,2,1600,-1.1143570710455761,-0.843906836461126,-0.2704502345844504,complete
andre_roberson_2017_OKC,Andre Roberson,2017-18,3,re_signed_standard,roster_continuity,-0.4071010435225248,-1.78852125222703,1.3604734029015015,3929,2,-0.1,-1.9,1.8,1037,1,1037,0.30710104352252476,-0.11147874777296995,0.4395265970984985,complete
andrew_bogut_2017_LAL,Andrew Bogut,2017-18,3,new_team,team_change,0.9668633235004918,-2.132497541789577,3.028023598820059,2034,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing_data
andrew_harrison_2017_MEM,Andrew Harrison,2017-18,3,re_signed_standard,roster_continuity,-3.3999999999999995,-4,0.6,1474,1,-1.5,-1,-0.5,1326,1,1326,1.8999999999999995,3,-1.1,complete
andrew_wiggins_2017_MIN,Andrew Wiggins,2017-18,3,re_signed_standard,roster_continuity,-1.5068895299507887,0.7965552350246056,-2.303444764975395,5893,2,-2.078048780487805,-0.4594850948509485,-1.658929539295393,7380,3,2460,-0.5711592505370162,-1.256040329875554,0.6445152256800017,complete
anthony_davis_2017_NOP,Anthony Davis,2017-18,3,re_signed_standard,roster_continuity,5.011658456486043,4.044663382594417,0.9558292282430214,4872,2,7.857617769827073,5.828190220632081,2.029427549194991,6708,3,2236,2.8459593133410293,1.7835268380376634,1.0735983209519695,complete
anthony_tolliver_2017_DET,Anthony Tolliver,2017-18,3,new_team,team_change,-0.3337828246983676,-0.1,-0.18136976579134143,2818,2,-1.024460625674218,-0.5610302049622439,-0.46343042071197416,3708,3,1236,-0.6906778009758503,-0.4610302049622439,-0.2820606549206327,complete
aron_baynes_2017_BOS,Aron Baynes,2017-18,3,new_team,team_change,-1.4134808013355593,-1.810559265442404,0.3970784641068447,2396,2,-1.997530864197531,-2.1637654320987654,0.16623456790123453,3240,3,1080,-0.5840500628619716,-0.3532061666563613,-0.2308438962056102,complete
arron_afflalo_2017_ORL,Arron Afflalo,2017-18,3,new_team,team_change,-3.1799291318653506,-1.619919007846115,-1.5600101240192357,3951,2,-5.4,-3.8,-1.5,682,1,682,-2.2200708681346497,-2.1800809921538846,0.06001012401923567,complete
