player_name,season,impact_overall,impact_offense,impact_defense,minutes_played,games_played,age,metric_source
Jamaree Bouyea,2024-25,-5.4,-4.6,-0.9,62,5,25,bpm_basketball_reference
James Harden,2024-25,4.3,3.5,0.8,2789,79,35,bpm_basketball_reference
James Johnson,2024-25,-9.7,-9.6,-0.2,37,12,37,bpm_basketball_reference
James Wiseman,2024-25,1.6,6,-4.4,5,1,23,bpm_basketball_reference
Jamison Battle,2024-25,-2.3,-0.9,-1.3,1042,59,23,bpm_basketball_reference
Jarace Walker,2024-25,-0.9,-1.8,0.8,1187,75,21,bpm_basketball_reference
Jared Butler,2024-25,-1,0.5,-1.5,1044,60,24,bpm_basketball_reference
Jared McCain,2024-25,0.2,1.8,-1.6,592,23,20,bpm_basketball_reference
Jared Rhoden,2024-25,-0.5,-0.5,0,227,14,25,bpm_basketball_reference
Jaren Jackson Jr.,2024-25,2.3,1.6,0.8,2207,74,25,bpm_basketball_reference
Jarred Vanderbilt,2024-25,-1,-2.3,1.3,581,36,25,bpm_basketball_reference
Jarrett Allen,2024-25,4.2,3,1.2,2296,82,26,bpm_basketball_reference
Javonte Green,2024-25,-2.3,-2.8,0.5,1258,68,31,bpm_basketball_reference
Jaxson Hayes,2024-25,-0.3,-1.6,1.3,1093,56,24,bpm_basketball_reference
Jay Huff,2024-25,3.5,2.5,1,748,64,26,bpm_basketball_reference
Jaylen Brown,2024-25,0,0.4,-0.4,2158,63,28,bpm_basketball_reference
Jaylen Clark,2024-25,-0.2,-2.9,2.7,522,40,23,bpm_basketball_reference
Jaylen Martin,2024-25,-6.3,-4.5,-1.9,239,16,21,bpm_basketball_reference
Jaylen Nowell,2024-25,-5.7,-3.2,-2.5,168,8,25,bpm_basketball_reference
Jaylen Sims,2024-25,-4.1,-2.8,-1.3,112,6,26,bpm_basketball_reference
Jaylen Wells,2024-25,-2.2,-1.2,-1,2043,79,21,bpm_basketball_reference
Jaylin Williams,2024-25,4.3,1.5,2.7,784,47,22,bpm_basketball_reference
Jaylon Tyson,2024-25,-2.7,-2.4,-0.2,453,47,22,bpm_basketball_reference
Jayson Tatum,2024-25,5.2,4.4,0.8,2624,72,26,bpm_basketball_reference
Jazian Gortman,2024-25,-6.3,-5.5,-0.8,57,16,21,bpm_basketball_reference
Jeff Dowtin Jr.,2024-25,0.2,0.7,-0.5,621,41,27,bpm_basketball_reference
Jeff Green,2024-25,0.4,0.3,0,396,32,38,bpm_basketball_reference
Jerami Grant,2024-25,-1.6,-1.4,-0.3,1524,47,30,bpm_basketball_reference
Jeremiah Robinson-Earl,2024-25,-2.5,-0.9,-1.6,1239,66,24,bpm_basketball_reference
Jeremy Sochan,2024-25,-1.2,-0.8,-0.4,1364,54,21,bpm_basketball_reference
Jericho Sims,2024-25,-3,-3.1,0.1,632,53,26,bpm_basketball_reference
Jesse Edwards,2024-25,-4,-8.8,4.7,5,2,24,bpm_basketball_reference
Jett Howard,2024-25,-5.3,-4.1,-1.2,701,60,21,bpm_basketball_reference
Jevon Carter,2024-25,-2.1,-1,-1.1,321,36,29,bpm_basketball_reference
Jimmy Butler,2024-25,4.9,4,1,1746,55,35,bpm_basketball_reference
Jock Landale,2024-25,0.4,0,0.4,500,42,29,bpm_basketball_reference
Joe Ingles,2024-25,-7,-6.9,-0.1,114,19,37,bpm_basketball_reference
Joel Embiid,2024-25,3.5,3.7,-0.3,574,19,30,bpm_basketball_reference
John Collins,2024-25,1,1.4,-0.4,1220,40,27,bpm_basketball_reference
John Konchar,2024-25,1.7,-0.7,2.3,558,46,28,bpm_basketball_reference
Johnny Davis,2024-25,-2.8,-3.5,0.7,242,34,22,bpm_basketball_reference
Johnny Furphy,2024-25,-2.5,-3,0.6,379,50,20,bpm_basketball_reference
Johnny Juzang,2024-25,-2.3,-0.9,-1.4,1270,64,23,bpm_basketball_reference
Jonas Valančiūnas,2024-25,0.6,0.8,-0.1,1524,81,32,bpm_basketball_reference
Jonathan Isaac,2024-25,0.7,-1.1,1.8,1090,71,27,bpm_basketball_reference
Jonathan Kuminga,2024-25,-0.6,-0.5,-0.1,1144,47,22,bpm_basketball_reference
Jonathan Mogbo,2024-25,-1.9,-2.9,1,1286,63,23,bpm_basketball_reference
Jordan Clarkson,2024-25,-1.5,0.6,-2.1,962,37,32,bpm_basketball_reference
Jordan Goodwin,2024-25,-0.8,-1.7,0.8,543,29,26,bpm_basketball_reference
Jordan Hawkins,2024-25,-5.4,-2.4,-3,1321,56,22,bpm_basketball_reference
Jordan McLaughlin,2024-25,-1.6,-1.6,0,314,46,28,bpm_basketball_reference
Jordan Miller,2024-25,-2.8,-3,0.2,420,37,25,bpm_basketball_reference
Jordan Poole,2024-25,0.4,2,-1.6,2001,68,25,bpm_basketball_reference
Jordan Walsh,2024-25,-3.9,-4.4,0.5,403,52,20,bpm_basketball_reference
Jose Alvarado,2024-25,-1.4,-0.6,-0.8,1366,56,26,bpm_basketball_reference
